size,time
16,0.000000
32,0.000000
64,0.000000
128,0.000000
256,0.000000
512,0.000000
1024,0.000000
2048,0.000001
4096,0.000004
8192,0.000021
16384,0.000018
32768,0.000038
65536,0.000085
131072,0.000430
262144,0.000672
524288,0.001580
1048576,0.003150
2097152,0.005960
4194304,0.012367
